typ_cit	typ_freq_abs
!	17202
!!	18
!!!	17
!!!!!	1
!?	10
!?!	1
!…	2
%	2
&	18
'	2
'aarspitzen	1
'abe	4
'ackt	1
'asse	3
'ast	1
'at	5
'atte	2
'ause	1
'aut	1
'ä'ä'ääääääää	1
'ä'ääää'äääääää	1
'ätte	1
'EUL	1
'eiße	1
'eißes	1
'eißt	1
'ier	2
'n	30
'n'	1
'ne	34
'nen	4
'ner	1
'och	1
'ochverehrte	1
'olen	1
'öre	2
'örst	2
's	684
'tschuldigung	4
'uhn	2
'unger	2
'ü'ü'üüüüüüüü	1
(	253
(Illustration	1
)	256
*	44
+	4
,	72770
-	54
-Blöken	1
-CDs	1
-energien	1
-fürzen	1
-käse	1
-Spiel	1
-Spielen	1
.	96017
.1	1
.com	1
.de	1
.pippi-langstrumpf.de	1
/	9
0	4
0-1	2
0-1.30	1
0-3	1
0-4	1
0-6	1
00	1
000	7
008	16
008.	2
066	1
09.	1
0:0	1
1	41
1,2,3,4	1
1-2	1
1-2-0-7-4-6	1
1-2-3	1
1-2-3-4-5-6-7-8-9-10	1
1-7	1
1.	55
1/2	1
10	25
10-15	1
10-Cent-Münzen	1
10-Meter-Brett	1
10.	9
10.8	1
100	24
100-prozentiger	2
100.	2
1000	6
10000	7
100000	11
101	1
102	2
106.	1
109	1
109.	1
1099	1
11	7
11-1	1
11.	10
11.000	1
110	4
110,110,110	1
111	1
111.	1
112	1
12	17
12-Jährige	1
12-Stunden-Tag	1
12.	10
120	3
1200	1
12000	1
123	1
124	1
125	3
128	1
13	16
13,35,10	1
13-köpfigen	1
13.	10
14	11
14-16	1
14.	7
140	1
142	1
142000	1
148	1
15	8
15.	8
150	10
1500	1
16	12
16.	3
160	1
1610	3
1625	1
168000	1
16:58	1
17	6
17.	5
170000	1
1755	1
1769	1
178	2
1783	1
18	7
18-stündige	1
18.	7
1822	1
1831	1
1840	1
1841	1
1849	1
1852	1
1877-1939	1
1883	1
1893	2
19	4
19.	8
19.34	1
1900	3
1903	3
1904	1
1906	1
1908	3
1911	1
1914	1
1914-1986	1
1921	6
1922	5
1923	2
1924	25
1925	1
1930	1
1937-1960	1
1941	1
1947	1
1949	1
1950	4
1953	5
1955-1958	1
1957	1
1958	1
1960	4
1961	1
