__eos__;118424
-;54
,;72770
:;5122
!;17318
!!;18
!!!;17
!?;10
?;10508
???;9
.;96017
'at;5
…;1980
…!;16
…?;28
›;157
•;54
–;2121
‹;147
(;253
);256
*;44
/;9
&;18
=;7
«;37043
»;37289
ächzen;38
ächzend;7
äffen;5
äh;135
ähm;24
ähnlich;66
ändern;47
ängstlich;100
ärgerlich;59
ärgern;126
äußer;7
äußerst;17
öde;5
öffnen;365
öfter;41
ölen;5
östlich;4
Öffnung;19
Öl;17
Öre;15
Örgen;11
Ärger;51
Ärmel;41
Ärztin;24
Österreich;6
Äuge-nie;22
übel;43
üben;151
über;2082
überall;186
überallhin;5
überaus;7
überblicken;4
übereinander;8
überfällen;16
überflüssig;5
überfliegen;4
übergeben;12
übergehen;5
überglücklich;12
überhören;5
überhaupt;405
überholen;9
überkommen;5
überlassen;12
überleben;15
überlegen;353
überlegt;5
überlisten;6
übermütig;5
übermorgen;16
übernachten;29
übernehmen;18
überprüfen;13
überqueren;23
überraschen;79
überraschend;12
überrascht;39
überreden;13
überreichen;21
übers;45
übersäen;6
überschlagen;9
überschnappen;5
übersehen;15
übersetzen;9
überstehen;9
übertönen;4
übertragen;7
übertreiben;12
überwältigen;5
überwinden;7
überwuchern;5
überzeugen;45
überzeugend;4
überziehen;11
üblich;11
übrig;100
übrigens;76
üppig;5
Übeltäter;5
Überblick;4
Überfall;7
Überlege;18
Überlegen;5
Überraschung;91
Überrest;4
Überschrift;12
Überzahl;5
Überzeugung;5
Übrige;4
Übung;27
0;7
8;16
1;41
1;55
10;25
10;9
100;24
1000;6
10000;7
100000;11
11;7
11;10
12;17
12;10
13;16
13;10
14;11
14;7
15;8
15;8
150;10
16;12
17;6
17;5
18;7
18;7
19;8
1921;6
1922;5
1924;25
1953;5
1975;8
1999;8
2;37
2;70
20;21
200;17
2000;5
201;5
21;5
23;6
24;12
25;13
250;6
27;5
27;5
29;5
2b;6
3;32
3;47
30;21
300;6
3a;12
3b;22
4;18
4;37
40;8
5;23
5;24
50;25
500;5
6;16
6;29
60;6
7;17
7;14
70;7
700;9
75;11
8;15
8;22
800;6
9;7
9;6
a;33
A-aber;5
Aal;5
ab;877
ab!;14
ab.;5
abbeissen;9
abbekommen;5
abbiegen;8
abbilden;13
abbrechen;11
Abc;7
Abdruck;16
Abedi;5
Abend;324
Abendbrot;40
Abendeßen;49
Abendhimmel;6
abends;79
Abendstern;7
Abenteuer;112
abenteuerlich;11
Abenteurer;7
aber;6484
abfahren;6
Abfall;6
abfallen;6
Abgabe;5
abgeben;31
abgehen;8
abgeliegen;5
abgewöhnen;7
Abgrund;28
abgucken;6
abhacken;5
Abhang;16
abhauen;23
abholen;64
abkühlen;5
Abkürzung;8
ablegen;5
ablehnen;8
ablenken;25
ablesen;5
abliefern;5
abmachen;21
abnehmen;25
abräumen;5
Abreise;5
abreissen;13
abrupt;7
abrutschen;5
Abruzzo;5
absagen;7
Absatz;9
abschütteln;5
abscheulich;7
Abschied;52
abschließen;15
abschneiden;20
Abschnitt;6
abschreiben;17
abseits;5
absetzen;16
Absicht;10
absichtlich;11
absolut;34
abstürzen;20
Abstand;19
absteigen;10
abstellen;12
Abstieg;8
absuchen;5
Abteilungsleiter;5
abtrocknen;9
abwärts;5
abwarten;18
abwaschen;9
abwechseln;7
abwechselnd;12
Abwechselung;14
abwerfen;5
abwesend;5
Abwesenheit;5
abziehen;7
ach;347
Achse;7
Achsel;36
acht;120
achten;44
Achtung;39
achtzehn;15
achtzig;9
Acker;7
Adala;14
Adele;10
Adelheid;9
Ader;12
Adler;16
Adresse;26
Advent;9
Adventskalender;6
Affe;35
Afrika;29
AG;6
Agathe;7
Agda;49
Agdas;14
Agent;13
Aggression;32
aggressiv;5
ah;45
Aha;45
ahhh;5
ahnen;67
Ahnung;106
ahnungslos;7
Akerblom;6
Akira;5
Akku;6
Aktion;9
aktiv;11
akzeptieren;5
Alarmanlage;6
alarmieren;7
Albatros;5
albern;32
Alberta;10
Albertina;8
Albertus;26
Albtraum;10
Alev;18
Alex;289
Alfons;28
Alfred;9
Alge;13
Algenwald;7
Alissa;19
All;13
all;146
Alle;184
alle;3395
allein;379
alleine;107
Alleingang;5
Allen;7
allerbest;17
Allerbeste;5
allerdings;132
allererst;7
Allergie;5
allergisch;6
allergrößte;10
allerhand;7
allerlei;11
allerletzt;18
allerlieb;10
allermeist;5
allesamt;6
allgemein;12
allmählich;32
allzu;20
Alma;16
Alpe;6
Alptraum;6
als;4341
also;778
alt;905
Alte;29
Alter;33
altmodisch;9
Alwin;10
am;2647
amüsieren;7
Amadeus;39
Amanda;23
Ambra;100
Ambras;21
Ameise;30
Amelie;211
Amerika;38
Amerikaner;5
Amigo;11
Ammonit;30
Ampel;16
Amsel;18
Amulett;24
Amun;9
an;5893
anbieten;16
anbinden;9
Anblick;27
anbrennen;5
anbringen;12
andächtig;6
ander;1446
andere;393
andererseits;6
andermal;8
andern;16
anders;192
Andersson;9
anderswo;8
Andi;9
Andre;7
Andrea;8
Andreas;10
Andrew;15
aneinander;27
anerkennen;10
anfühlen;9
anführen;9
Anführer;11
anfahren;7
Anfang;79
anfangen;189
anfangs;19
anfassen;33
anfertigen;9
anflitzen;5
anfreunden;7
angeben;7
Angeber;15
angeblich;17
Angebot;5
angehen;9
Angel;39
Angelegenheit;18
Angelhaken;5
angeln;30
Angelschnur;7
Angelsehne;5
angenehm;18
angestrengt;5
angewidert;8
anglotzen;5
angreifen;11
Angreifer;5
Angriff;19
Angst;519
Angsthase;24
angucken;25
Anhänger;15
anhören;22
anhaben;15
anhalten;29
Anhefter;6
Anita;128
Anja;23
ankündigen;7
Anke;15
Anker;26
anklopfen;10
anknipsen;7
ankommen;130
Ankunft;10
anlügen;10
Anlage;5
anlangen;12
Anlauf;20
anlaufen;23
anlegen;20
anlocken;15
anmachen;10
anmalen;14
anmelden;13
anmerken;13
Anna;555
Anna-emilie;5
Annabelle;18
Annalisa;23
Annas;32
Anne;286
annehmen;23
Anneliese;46
Annes;5
Annick;6
Annika;17
Anorak;7
anordnen;5
anpassen;6
anrühren;5
anrennen;19
anrichten;12
Anruf;8
anrufen;77
ans;114
ansagen;11
ansausen;6
anschaffen;6
anschauen;48
anscheinend;54
anschleichen;7
anschließen;5
anschließend;38
anschreien;6
ansehen;105
ansetzen;7
ansonsten;11
anspannen;6
ansprechen;11
Anspruch;5
anständig;14
Anstalten;6
anstarren;11
anstatt;15
anstecken;12
ansteckend;11
anstelle;5
anstellen;37
anstoßen;8
anstrengen;41
anstrengend;48
Anstrengung;8
anstupsen;5
Antalya;5
Anteil;10
Anton;73
Antonia;16
Antons;5
antreiben;7
antreten;13
antuen;14
Antwort;134
antworten;744
anwachsen;6
Anweisung;7
anwurzeln;19
anzünden;7
Anzeichen;5
Anzeige;8
anzeigen;6
anziehen;58
Anzug;25
Apfel;107
Apfelbaum;20
Apfelkuchen;6
Apfelsaft;10
Apfelschimmel;10
Apfelsine;11
Apotheke;11
Apotheker;7
Apothekerschrank;5
Apparat;19
Appetit;31
Appetithappen;7
appetitlich;7
applaudieren;7
Applaus;8
Aprikose;7
April;52
Aquarium;18
Arbeit;172
arbeiten;143
Arbeiter;11
Arbeitszimmer;17
Arena;12
arg;7
argwöhnisch;7
Arkadia;6
arm;137
Arm;322
Armband;7
Armbanduhr;7
Arme;271
Armer;13
Arnold;6
Art;77
Artgenosse;8
artig;13
Artikel;50
Arzt;59
Arzthelferin;5
Asche;8
Aschenbecher;8
Asien;5
Asketo;17
Assilotl;12
Ast;128
Astgabel;5
Astrid;52
Astronaut;142
Aszendent;15
Ata;65
Atas;8
Atem;92
Atemlos;11
atemlos;26
Atemzug;10
Athos;8
Atlas;37
atmen;125
Atmen;16
Atmosphäre;5
au;77
außen;26
außer;137
außerdem;260
außergewöhnlich;9
außerhalb;17
Außerirdische;5
aua;33
auch;4688
Auerochse;10
auf;10264
auf-;10
aufbauen;20
aufbewahren;16
aufblasen;9
aufbleiben;9
aufblitzen;9
aufbrechen;20
aufbringen;11
Aufbruch;12
aufeinander;24
aufessen;20
auffällig;7
aufführen;18
Aufführung;11
auffallen;27
auffallend;6
auffangen;14
auffordernd;5
auffressen;22
Aufgabe;67
aufgeben;36
aufgeblasen;13
aufgehen;37
aufgeregt;241
aufgereißen;18
aufgeschlagen;7
aufhängen;22
aufhören;89
aufhaben;6
aufhalten;28
aufheben;24
aufholen;7
aufklären;6
aufklappen;6
auflösen;16
aufladen;10
auflegen;15
aufmachen;40
aufmalen;5
aufmerksam;42
Aufmerksamkeit;10
aufmuntern;16
Aufnahme;6
aufnehmen;29
aufpassen;91
Aufräum-sack;6
aufräumen;35
Aufräumen;6
aufragend;5
aufrappeln;6
aufrecht;15
aufregen;49
aufregend;54
Aufregung;77
aufreissen;27
aufrichten;12
aufrufen;5
aufs;156
aufsagen;7
Aufsatz;5
aufschlagen;16
aufschließen;17
aufschrecken;5
aufschreiben;32
Aufschrift;8
Aufseher;8
aufsetzen;19
Aufsicht;6
aufspüren;5
aufsperren;6
aufspießen;13
aufspringen;12
aufstehen;57
Aufstehen;8
aufsteigen;19
aufstellen;30
Aufstieg;8
auftauchen;70
Auftrag;18
auftreiben;7
auftreten;10
Auftritt;13
aufwärmen;5
Aufwachen;14
aufwachen;61
aufwachsen;8
Aufwind;7
aufwischen;5
aufzählen;8
aufziehen;22
Aufzug;7
Auge;1093
Augenbinde;6
Augenblick;189
augenblicklich;14
Augenbraue;28
Augenpaar;7
Augenwinkel;20
Augenzwinkern;5
August;23
Aula;5
Aurelia;7
Aurica;20
aus;4885
Ausbildung;7
ausbrüten;5
ausbrechen;13
ausbreiten;15
Ausbruch;9
ausdenken;64
Ausdruck;9
auseinander;47
ausführen;9
ausfüllen;9
ausfallen;6
ausflippen;7
Ausflug;70
Ausgang;23
ausgeben;5
ausgebildet;5
ausgebreitet;7
ausgehöhlt;8
ausgehen;21
Ausgehnacht;9
ausgelaßen;9
ausgerechnet;51
ausgesprechen;9
ausgesterben;15
ausgestopft;9
ausgestreckt;16
ausgetrocknet;6
ausgewachsen;6
ausgezeichnet;8
ausgiebig;12
ausgraben;5
aushalten;28
auskennen;11
auskommen;5
Ausländer;7
auslösen;11
auslachen;11
Ausland;6
auslassen;5
Auslauf;10
ausleern;7
ausleihen;27
ausliefern;5
ausmachen;30
ausmisten;5
Ausnahme;6
ausnahmsweise;19
auspacken;15
ausprobieren;42
ausräumen;7
ausrüsten;6
Ausrüstung;18
Ausrüstungsgürtel;5
ausrauben;10
ausrechnen;13
Ausrede;19
ausreden;6
ausreichend;7
ausreissen;6
ausrichten;12
ausruhen;33
ausrutschen;5
ausschalten;6
Ausschau;27
ausschimpfen;5
ausschlafen;7
ausschlagen;5
ausschließen;6
ausschließlich;7
ausschneiden;6
aussehen;192
Aussehen;6
aussehend;13
aussetzen;19
Aussicht;16
aussprechen;15
ausspucken;10
ausstehen;9
aussteigen;14
Ausstellung;14
Ausstellungsstück;5
ausstoßen;8
ausstrecken;19
aussuchen;36
austauschen;8
austoben;5
Australien;6
austrinken;5
ausweichen;10
Ausweis;5
auswendig;21
auszeichnen;11
ausziehen;35
Auto;218
Autobahn;9
Autofahrer;12
Autogramm;5
Autor;14
Autorin;13
autsch;13
auweia;21
Axel;13
Axt;13
Ayla;26
Aysche;17
Ayse;13
B;6
bä;7
Bäcker;14
bäh;16
Bär;246
Bärchen;5
Bärenfell;7
Bärenjagd;9
bärenstark;7
Bärin;7
bärtig;13
bäumen;8
Böse;21
böse;253
Bösewicht;7
büßen;6
Büchel;9
Bücherei;13
bücken;31
Büfett;5
Büffel;5
Bühler;6
Bühne;74
Bündel;10
Bürger;5
Bürgermeister;35
Bürgersteig;12
Büro;47
Bürste;38
bürsten;10
Büschel;9
Baadingoo;11
Babette;9
Babsi;10
Baby;112
Baby-quetzies;10
Bach;56
backbord;10
Backe;46
backen;81
Backenzahn;8
Backeofen;19
Bad;51
Badegast;6
Badehose;10
Bademeister;6
Baden;11
baden;64
Bader;5
Badewanne;36
Badezimmer;30
baff;6
Bahn;9
Bahnhof;31
Bahnhofsvorsteher;9
Baier;9
Bakterie;7
Baktus;52
balancieren;19
bald;435
Balduin;13
Baldur;5
Balken;22
Balkon;37
Ball;198
ballen;14
Ballett;5
Ballettlehrerin;9
Ballettsaal;11
Ballettschule;6
Ballettstunde;7
Ballon;44
Bammel;11
Banane;20
Band;47
Bande;32
Bang;18
Bange;5
bange;8
Bank;90
bannen;7
Bar;18
Barat;14
barfuß;12
Barfußpfad;6
barker;9
Baron;36
Bart;99
Barthenfels;15
Barzinger;6
Basislager;22
basta;7
basteln;48
Basti;6
Bastian;18
Batarang;6
Batman;149
Batmobil;8
Batplane;5
Batsignal;6
Batterie;12
Bau;15
Bauch;237
Bauchredner;19
Bauchschmerz;21
Bauchweh;15
bauen;212
Bauer;84
Bauerin;35
Bauernhof;33
Bauersfrau;5
Bauklotz;5
Bauleiter;5
Baum;444
Baumchen;6
baumeln;30
Baumhaus;67
Baumstamm;20
Baumstumpf;12
Baumwipfel;10
Baumwurzel;6
beäugen;8
beachten;19
Beamte;6
beantworten;25
bearbeiten;5
Beatrix;26
Beben;10
beben;28
Becher;47
Becken;15
bedächtig;5
Bedürfnis;5
bedanken;39
bedauernd;8
bedecken;29
bedeckt;10
bedenken;17
Bedenken;8
bedenklich;5
bedeuten;129
bedeutend;6
bedienen;14
Bedingung;10
bedrückt;8
bedrohlich;16
beeilen;75
beeindrucken;38
beeindruckt;11
beenden;29
Beerdigung;6
Beere;22
Beet;12
Beete;9
befördern;14
befühlen;5
befürchten;16
Befehl;20
befehlen;61
befestigen;49
befinden;82
befolgen;5
befreien;67
befreunden;12
befreundet;7
begeben;17
begegnen;45
Begegnung;7
begeistern;18
begeistert;181
Begeisterung;22
begießen;8
Beginn;6
beginnen;512
begleiten;56
Begleiter;9
begrüßen;69
Begrüßung;15
begraben;6
begreifen;63
Begriff;12
begutachten;7
behaaren;5
behaart;8
behalten;92
behandeln;25
Behandlung;5
beharren;13
behaupten;77
beherrschen;20
behutsam;43
bei;1534
Beißen;9
Beißer;9
